name,category,latitude,longitude
Five Falls,attraction,8.9310935,77.2382226
Courtallam Falls,attraction,8.9296643,77.2692338
Parankunrapuram Church,place_of_worship,8.9622744,77.4564276
Mutharamman Temple,place_of_worship,8.962905,77.4566609
St. Antony's Church,place_of_worship,8.9154563,77.3814884
C.S.I. Christ Church,place_of_worship,8.9162671,77.381247
Murugan Templa,place_of_worship,8.9219986,77.3487929
Arulmigu Valli Thevasena Sameda Sri Subramaniya Swamy Temple,place_of_worship,8.9147945,77.3852453
Muppidathi Amman Koil,place_of_worship,9.3063954,77.5490272
Piliyar Kovil,place_of_worship,8.9973114,77.3850614
Nafees,garden,9.0696278,77.2105247
S Bend,attraction,9.0075045,77.1674182
Varadaraja Perumal Kovil,place_of_worship,8.9580636,77.2781135
Jamia Masjid and Islamic Center,place_of_worship,8.9332022,77.2679537
Arulmigu Thiruvilanji Kumarar Temple,place_of_worship,8.9482552,77.27488
C.S.I. Good Shepherd Church,place_of_worship,8.8678728,77.4942695
Arulmigu Sri Mariyamman Kovil,place_of_worship,8.8676844,77.4967723
ஜாமிவுல் அன்வார் ஜூம்ஆ பள்ளி,place_of_worship,9.0797074,77.3508275
Utchimahali Amman Temple,place_of_worship,8.9355812,77.4513877
Esaki Amman Temple,place_of_worship,8.9286546,77.4501277
R C Church,place_of_worship,8.9367926,77.4474866
Sivan temple,place_of_worship,8.9312943,77.4484004
government hostel for boys,hostel,8.9525921,77.4430641
church,place_of_worship,8.9685108,77.4336542
விநாயகர் கோவில்,place_of_worship,8.8802981,77.3919402
ராமர் கோவில்,place_of_worship,8.8797757,77.3924243
Arulmigu Sri Durga Amman Temple,place_of_worship,8.9960679,77.2097097
Arulmigu Devi Shri Muthumari Amman temple,place_of_worship,8.9903719,77.2227076
Tiger falls,attraction,8.9270403,77.2778441
Kalathi Vinayagar Temple,place_of_worship,8.8525382,77.4834841
Mariyamman Temple,place_of_worship,8.852172,77.4828934
Thalavai Sudalai Madan Koil,place_of_worship,8.8517946,77.4847602
CSI Church,place_of_worship,8.8524625,77.4810029
Vannathamman Koil,place_of_worship,8.8534696,77.4834277
Nochadi Sudalai Madan Koil,place_of_worship,8.849473,77.4875861
Ayya Koil,place_of_worship,8.8517416,77.4809686
Hotel Tamilnadu Unit 2,hotel,8.9406157,77.2814713
Periyandavar Temple,place_of_worship,8.9210276,77.397268
"Folk Arts Site Museum, Courtallam",museum,8.9324821,77.2720131
Rajathottam view Point,viewpoint,8.9508026,77.1978829
Sri Veerabagu Vinayagar temple,place_of_worship,8.9721991,77.3889767
A.G. Church,place_of_worship,8.9929537,77.2170385
Zion A.G. Church,place_of_worship,8.9840937,77.2353636
Sri Siddheshwari Peetham,place_of_worship,8.9366362,77.2701952
Arulmigu Sri Veerapandi Amman temple,place_of_worship,8.939944,77.2857508
St. John's Church,place_of_worship,8.8618096,77.4972785
Arulmigu Sri Pathirakali Amman temple,place_of_worship,8.8701471,77.5027764
Arulmigu Sri Muppudathi Amman temple,place_of_worship,8.9207052,77.3972174
Maipparai Hill Temple,place_of_worship,9.2424623,77.7274146
Padikattu Malai,peak,8.9507863,77.198106
Sri Pampatti Sidhar Jeeva Samadhi Peedam,place_of_worship,9.1704292,77.5294113
மக்கதூம் ஞானியார் ஜும்மா பள்ளிவாசல்,place_of_worship,9.0807683,77.3460429
Masjid Al Aqsa,place_of_worship,9.0853773,77.3420079
சிராஜும் முனீர் மதரஸா,place_of_worship,9.0818117,77.3503014
Nallur Jumma Masjid,place_of_worship,9.0877111,77.3382664
Madina nagar pallivasal,place_of_worship,9.0816265,77.343923
Naina Muhammad Periya Kuthba Pallivasal (Jumma Masjid),place_of_worship,9.0803734,77.3477098
Ayyapuram Naina Muhammad  Jumma Palli,place_of_worship,9.081923,77.3469991
"எம தர்மராஜா  கோட்டை (கோவில் )   Yama Dharmaraja Kottai/Temple  (எமன்,காலன் &தூதன்  கோவில் )   (Yaman, Kala & Thoothan temple)",place_of_worship,9.379141,77.4399906
Main Falls,attraction,8.9292661,77.269143
